Feature,Description,FeatureType
Age,age of the patient [years],Continuous
Sex,"sex of the patient [M: Male, F: Female]",Categorical
ChestPainType,"chest pain type [TA: Typical Angina, ATA: Atypical Angina, NAP: Non-Anginal Pain, ASY: Asymptomatic]",Categorical
RestingBP,resting blood pressure [mm Hg],Continuous
Cholesterol,serum cholesterol [mm/dl],Continuous
FastingBS,"fasting blood sugar [1: if FastingBS > 120 mg/dl, 0: otherwise]",Categorical
RestingECG,"resting electrocardiogram results [Normal: Normal, ST: having ST-T wave abnormality (T wave inversions and/or ST elevation or depression of > 0.05 mV), LVH: showing probable or definite left ventricular hypertrophy by Estes' criteria]",Categorical
MaxHR,maximum heart rate achieved [Numeric value between 60 and 202],Continuous
ExerciseAngina,"exercise-induced angina [Y: Yes, N: No]",Categorical
Oldpeak,ST [Numeric value measured in depression],Continuous
ST_Slope,"the slope of the peak exercise ST segment [Up: upsloping, Flat: flat, Down: downsloping]",Categorical
HeartDisease,"output class [1: heart disease, 0: Normal]",Categorical
